CID100000085	CID000010917	C0000737		21%	0.21	0.21	LLT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		21%	0.21	0.21	PT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		21%	0.21	0.21	PT	C0687713	Gastrointestinal pain
CID100000085	CID000010917	C0000737		5%	0.05	0.05	LLT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		5%	0.05	0.05	PT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		5%	0.05	0.05	PT	C0687713	Gastrointestinal pain
CID100000085	CID000010917	C0000737		6%	0.06	0.06	LLT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		6%	0.06	0.06	PT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		6%	0.06	0.06	PT	C0687713	Gastrointestinal pain
CID100000085	CID000010917	C0000737		9%	0.09	0.09	LLT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		9%	0.09	0.09	PT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737		9%	0.09	0.09	PT	C0687713	Gastrointestinal pain
CID100000085	CID000010917	C0000737	placebo	17%	0.17	0.17	LLT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737	placebo	17%	0.17	0.17	PT	C0000737	Abdominal pain
CID100000085	CID000010917	C0000737	placebo	17%	0.17	0.17	PT	C0687713	Gastrointestinal pain
CID100000085	CID000010917	C0002418		3%	0.03	0.03	LLT	C0002418	Amblyopia
CID100000085	CID000010917	C0002418		3%	0.03	0.03	PT	C0002418	Amblyopia
CID100000085	CID000010917	C0002418		6%	0.06	0.06	LLT	C0002418	Amblyopia
CID100000085	CID000010917	C0002418		6%	0.06	0.06	PT	C0002418	Amblyopia
CID100000085	CID000010917	C0002418	placebo	2%	0.02	0.02	LLT	C0002418	Amblyopia
CID100000085	CID000010917	C0002418	placebo	2%	0.02	0.02	PT	C0002418	Amblyopia
CID100000085	CID000010917	C0002871		12%	0.12	0.12	LLT	C0002871	Anaemia
CID100000085	CID000010917	C0002871		12%	0.12	0.12	PT	C0002871	Anaemia
CID100000085	CID000010917	C0002871		3%	0.03	0.03	LLT	C0002871	Anaemia
CID100000085	CID000010917	C0002871		3%	0.03	0.03	PT	C0002871	Anaemia
CID100000085	CID000010917	C0002871		5%	0.05	0.05	LLT	C0002871	Anaemia
CID100000085	CID000010917	C0002871		5%	0.05	0.05	PT	C0002871	Anaemia
CID100000085	CID000010917	C0002871		6%	0.06	0.06	LLT	C0002871	Anaemia
CID100000085	CID000010917	C0002871		6%	0.06	0.06	PT	C0002871	Anaemia
CID100000085	CID000010917	C0002871	placebo	3%	0.03	0.03	LLT	C0002871	Anaemia
CID100000085	CID000010917	C0002871	placebo	3%	0.03	0.03	PT	C0002871	Anaemia
CID100000085	CID000010917	C0003123		3%	0.03	0.03	LLT	C0003123	Anorexia
CID100000085	CID000010917	C0003123		3%	0.03	0.03	PT	C0232462	Decreased appetite
CID100000085	CID000010917	C0003123		5%	0.05	0.05	LLT	C0003123	Anorexia
CID100000085	CID000010917	C0003123		5%	0.05	0.05	PT	C0232462	Decreased appetite
CID100000085	CID000010917	C0003123		6%	0.06	0.06	LLT	C0003123	Anorexia
CID100000085	CID000010917	C0003123		6%	0.06	0.06	PT	C0232462	Decreased appetite
