database,gene_id,symbol,association,phenotype,paper,ud1,variant,ud2,ud3,cosmid,type,tax_id,mod_date,ud4,,
WB,WBGene00000001,aap-1,,WBPhenotype:0000674,WB:WBVar00249743,IMP,,P,,Y110A7A.10,gene,taxon:6239,20181214,WB,,
WB,WBGene00000001,aap-1,,WBPhenotype:0000964,WB:WBVar00249743,IMP,,P,,Y110A7A.10,gene,taxon:6239,20181214,WB,,
WB,WBGene00000001,aap-1,NOT,WBPhenotype:0000062,WB:WBVar00249743,IMP,,P,,Y110A7A.10,gene,taxon:6239,20181214,WB,,
WB,WBGene00000001,aap-1,NOT,WBPhenotype:0000525,WB:WBVar00249743,IMP,,P,,Y110A7A.10,gene,taxon:6239,20181214,WB,,
WB,WBGene00000002,aat-1,NOT,WBPhenotype:0000062,WB:WBVar01429543,IMP,,P,,F27C8.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000003,aat-2,NOT,WBPhenotype:0000062,WB:WBVar00600984,IMP,,P,,F07C3.7,gene,taxon:6239,20181214,WB,,
WB,WBGene00000003,aat-2,NOT,WBPhenotype:0000062,WB:WBVar00600985,IMP,,P,,F07C3.7,gene,taxon:6239,20181214,WB,,
WB,WBGene00000004,aat-3,NOT,WBPhenotype:0000062,WB:WBVar00317441,IMP,,P,,F52H2.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000004,aat-3,NOT,WBPhenotype:0000062,WB:WBVar01429583,IMP,,P,,F52H2.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000006,aat-5,NOT,WBPhenotype:0000062,WB:WBVar00597605,IMP,,P,,C55C2.5,gene,taxon:6239,20181214,WB,,
WB,WBGene00000006,aat-5,NOT,WBPhenotype:0000062,WB:WBVar01474355,IMP,,P,,C55C2.5,gene,taxon:6239,20181214,WB,,
WB,WBGene00000007,aat-6,NOT,WBPhenotype:0000062,WB:WBVar01474046,IMP,,P,,T11F9.4,gene,taxon:6239,20181214,WB,,
WB,WBGene00000008,aat-7,NOT,WBPhenotype:0000062,WB:WBVar00600867,IMP,,P,,F54D12.3,gene,taxon:6239,20181214,WB,,
WB,WBGene00000008,aat-7,NOT,WBPhenotype:0000062,WB:WBVar02125592,IMP,,P,,F54D12.3,gene,taxon:6239,20181214,WB,,
WB,WBGene00000010,aat-9,NOT,WBPhenotype:0000062,WB:WBVar00604051,IMP,,P,,Y53H1C.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000010,aat-9,NOT,WBPhenotype:0000062,WB:WBVar00604073,IMP,,P,,Y53H1C.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000011,abc-1,,WBPhenotype:0000050,WB_REF:WBPaper00003120,IMP,WB:WBVar00091444,P,,,gene,taxon:6239,20181214,WB,,
WB,WBGene00000011,abc-1,,WBPhenotype:0000059,WB_REF:WBPaper00003120,IMP,WB:WBVar00091444,P,,,gene,taxon:6239,20181214,WB,,
WB,WBGene00000011,abc-1,,WBPhenotype:0000504,WB_REF:WBPaper00003120,IMP,WB:WBVar00091444,P,,,gene,taxon:6239,20181214,WB,,
WB,WBGene00000011,abc-1,,WBPhenotype:0000643,WB_REF:WBPaper00003120,IMP,WB:WBVar00091444,P,,,gene,taxon:6239,20181214,WB,,
WB,WBGene00000011,abc-1,,WBPhenotype:0000688,WB_REF:WBPaper00003120,IMP,WB:WBVar00091444,P,,,gene,taxon:6239,20181214,WB,,
WB,WBGene00000011,abc-1,,WBPhenotype:0000697,WB_REF:WBPaper00003120,IMP,WB:WBVar00091444,P,,,gene,taxon:6239,20181214,WB,,
WB,WBGene00000011,abc-1,,WBPhenotype:0000698,WB_REF:WBPaper00003120,IMP,WB:WBVar00091444,P,,,gene,taxon:6239,20181214,WB,,
