PRODUCTID	PRODUCTNDC	NDCPACKAGECODE	PACKAGEDESCRIPTION	STARTMARKETINGDATE	ENDMARKETINGDATE	NDC_EXCLUDE_FLAG	SAMPLE_PACKAGE
0002-0800_4bb5d1cb-0fa7-48c7-9f6d-8d45f9b91649	0002-0800	0002-0800-01	1 VIAL in 1 CARTON (0002-0800-01)  > 10 mL in 1 VIAL	19870710		N	N
0002-1200_957ee1b5-dfa7-4e3f-96e1-6bed1ffc0abe	0002-1200	0002-1200-30	1 VIAL, MULTI-DOSE in 1 CAN (0002-1200-30)  > 30 mL in 1 VIAL, MULTI-DOSE	20120601		N	N
0002-1200_957ee1b5-dfa7-4e3f-96e1-6bed1ffc0abe	0002-1200	0002-1200-50	1 VIAL, MULTI-DOSE in 1 CAN (0002-1200-50)  > 50 mL in 1 VIAL, MULTI-DOSE	20120601		N	N
0002-1407_14757f9d-f641-4836-acf3-229265588d1d	0002-1407	0002-1407-01	10 mL in 1 VIAL (0002-1407-01) 	19510301		N	N
0002-1433_4468578a-47d2-488e-9fd4-a8322070392f	0002-1433	0002-1433-61	2 SYRINGE in 1 CARTON (0002-1433-61)  > .5 mL in 1 SYRINGE	20141107		N	Y
0002-1433_4468578a-47d2-488e-9fd4-a8322070392f	0002-1433	0002-1433-80	4 SYRINGE in 1 CARTON (0002-1433-80)  > .5 mL in 1 SYRINGE (0002-1433-01) 	20141107		N	N
0002-1434_4468578a-47d2-488e-9fd4-a8322070392f	0002-1434	0002-1434-61	2 SYRINGE in 1 CARTON (0002-1434-61)  > .5 mL in 1 SYRINGE	20141107		N	Y
0002-1434_4468578a-47d2-488e-9fd4-a8322070392f	0002-1434	0002-1434-80	4 SYRINGE in 1 CARTON (0002-1434-80)  > .5 mL in 1 SYRINGE (0002-1434-01) 	20141107		N	N
0002-1436_ad6f74e8-b0ef-4a96-9249-c1225c5cd6a7	0002-1436	0002-1436-11	1 SYRINGE in 1 CARTON (0002-1436-11)  > 1 mL in 1 SYRINGE (0002-1436-01) 	20180927		N	N
0002-1436_ad6f74e8-b0ef-4a96-9249-c1225c5cd6a7	0002-1436	0002-1436-61	2 SYRINGE in 1 CARTON (0002-1436-61)  > 1 mL in 1 SYRINGE	20180927		N	Y
0002-1445_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-1445	0002-1445-09	3 SYRINGE in 1 CARTON (0002-1445-09)  > 1 mL in 1 SYRINGE (0002-1445-01) 	20160322		N	N
0002-1445_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-1445	0002-1445-11	1 SYRINGE in 1 CARTON (0002-1445-11)  > 1 mL in 1 SYRINGE (0002-1445-01) 	20160322		N	N
0002-1445_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-1445	0002-1445-27	2 SYRINGE in 1 CARTON (0002-1445-27)  > 1 mL in 1 SYRINGE (0002-1445-01) 	20160322		N	N
0002-1445_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-1445	0002-1445-61	1 SYRINGE in 1 CARTON (0002-1445-61)  > 1 mL in 1 SYRINGE	20160419		N	Y
0002-2377_ad6f74e8-b0ef-4a96-9249-c1225c5cd6a7	0002-2377	0002-2377-11	1 SYRINGE in 1 CARTON (0002-2377-11)  > 1 mL in 1 SYRINGE (0002-2377-01) 	20190118		N	N
0002-3227_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3227	0002-3227-30	30 CAPSULE in 1 BOTTLE (0002-3227-30) 	20030110		N	N
0002-3228_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3228	0002-3228-30	30 CAPSULE in 1 BOTTLE (0002-3228-30) 	20030110		N	N
0002-3229_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3229	0002-3229-30	30 CAPSULE in 1 BOTTLE (0002-3229-30) 	20030110		N	N
0002-3230_89af030d-8f23-4e54-92f0-724df4d81712	0002-3230	0002-3230-30	30 CAPSULE in 1 BOTTLE (0002-3230-30) 	20070409		N	N
0002-3231_89af030d-8f23-4e54-92f0-724df4d81712	0002-3231	0002-3231-30	30 CAPSULE in 1 BOTTLE (0002-3231-30) 	20040119		N	N
0002-3232_89af030d-8f23-4e54-92f0-724df4d81712	0002-3232	0002-3232-30	30 CAPSULE in 1 BOTTLE (0002-3232-30) 	20040119	20190731	N	N
0002-3233_89af030d-8f23-4e54-92f0-724df4d81712	0002-3233	0002-3233-30	30 CAPSULE in 1 BOTTLE (0002-3233-30) 	20040119		N	N
0002-3234_89af030d-8f23-4e54-92f0-724df4d81712	0002-3234	0002-3234-30	30 CAPSULE in 1 BOTTLE (0002-3234-30) 	20040119		N	N
0002-3235_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3235	0002-3235-60	60 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3235-60) 	20040824		N	N
0002-3238_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3238	0002-3238-30	30 CAPSULE in 1 BOTTLE (0002-3238-30) 	20030110		N	N
0002-3239_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3239	0002-3239-30	30 CAPSULE in 1 BOTTLE (0002-3239-30) 	20030110		N	N
0002-3240_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3240	0002-3240-30	30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3240-30) 	20040824		N	N
0002-3240_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3240	0002-3240-90	90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3240-90) 	20040824		N	N
0002-3250_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3250	0002-3250-30	30 CAPSULE in 1 BOTTLE (0002-3250-30) 	20050824		N	N
0002-3251_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3251	0002-3251-30	30 CAPSULE in 1 BOTTLE (0002-3251-30) 	20050824		N	N
0002-3270_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3270	0002-3270-04	1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3270-04) 	20100115		N	N
0002-3270_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3270	0002-3270-30	30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3270-30) 	20100115		N	N
0002-4112_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4112	0002-4112-30	30 TABLET in 1 BOTTLE (0002-4112-30) 	19970623		N	N
0002-4115_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4115	0002-4115-30	30 TABLET in 1 BOTTLE (0002-4115-30) 	19961001		N	N
0002-4116_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4116	0002-4116-30	30 TABLET in 1 BOTTLE (0002-4116-30) 	19961001		N	N
0002-4117_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4117	0002-4117-30	30 TABLET in 1 BOTTLE (0002-4117-30) 	19961001		N	N
0002-4182_1606b529-d77d-41d8-9379-094caf0241c2	0002-4182	0002-4182-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4182-30) 	20180531		N	N
0002-4182_1606b529-d77d-41d8-9379-094caf0241c2	0002-4182	0002-4182-61	30 TABLET, FILM COATED in 1 BOTTLE (0002-4182-61) 	20180531		N	Y
0002-4184_837bb79a-76bb-4ffc-ba50-76dc00d61e3c	0002-4184	0002-4184-02	100 TABLET in 1 BOTTLE (0002-4184-02) 	20161216		N	N
0002-4184_837bb79a-76bb-4ffc-ba50-76dc00d61e3c	0002-4184	0002-4184-07	1 BOTTLE in 1 CARTON (0002-4184-07)  > 2000 TABLET in 1 BOTTLE	20161216		N	N
0002-4184_837bb79a-76bb-4ffc-ba50-76dc00d61e3c	0002-4184	0002-4184-30	30 TABLET in 1 BOTTLE (0002-4184-30) 	20161216		N	N
0002-4415_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4415	0002-4415-30	30 TABLET in 1 BOTTLE (0002-4415-30) 	20000110		N	N
0002-4420_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4420	0002-4420-30	30 TABLET in 1 BOTTLE (0002-4420-30) 	20010301		N	N
0002-4453_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4453	0002-4453-85	30 DOSE PACK in 1 CARTON (0002-4453-85)  > 1 BLISTER PACK in 1 DOSE PACK (0002-4453-01)  > 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20000601		N	N
0002-4454_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4454	0002-4454-85	30 DOSE PACK in 1 CARTON (0002-4454-85)  > 1 BLISTER PACK in 1 DOSE PACK (0002-4454-01)  > 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20000601		N	N
